Learn more about this report for residential or business customers
Link for residential: http://www.bchydro.com/residentialconsumption
Link for business: http://www.bchydro.com/businessconsumption

Account Number,Interval Start Date/Time,Net Consumption (kWh),Demand (kW),Power Factor (%)
10707623,2019/04/01 00:00:00,6.02,N/A,N/A
10707623,2019/04/02 00:00:00,8.22,N/A,N/A
10707623,2019/04/03 00:00:00,6.28,N/A,N/A
10707623,2019/04/04 00:00:00,8.65,N/A,N/A
10707623,2019/04/05 00:00:00,13.35,N/A,N/A
10707623,2019/04/06 00:00:00,18.27,N/A,N/A
10707623,2019/04/07 00:00:00,11.82,N/A,N/A
10707623,2019/04/08 00:00:00,13.22,N/A,N/A
10707623,2019/04/09 00:00:00,9.56,N/A,N/A
10707623,2019/04/10 00:00:00,12.19,N/A,N/A
10707623,2019/04/11 00:00:00,16.58,N/A,N/A
10707623,2019/04/12 00:00:00,16.47,N/A,N/A
10707623,2019/04/13 00:00:00,23.71,N/A,N/A
10707623,2019/04/14 00:00:00,19.56,N/A,N/A
10707623,2019/04/15 00:00:00,14.37,N/A,N/A
10707623,2019/04/16 00:00:00,15.44,N/A,N/A
10707623,2019/04/17 00:00:00,13.38,N/A,N/A
10707623,2019/04/18 00:00:00,12.93,N/A,N/A
10707623,2019/04/19 00:00:00,17.87,N/A,N/A
10707623,2019/04/20 00:00:00,13.22,N/A,N/A
10707623,2019/04/21 00:00:00,9.42,N/A,N/A
10707623,2019/04/22 00:00:00,10.64,N/A,N/A
10707623,2019/04/23 00:00:00,12.37,N/A,N/A
10707623,2019/04/24 00:00:00,11.22,N/A,N/A
10707623,2019/04/25 00:00:00,13.87,N/A,N/A
10707623,2019/04/26 00:00:00,11.12,N/A,N/A
10707623,2019/04/27 00:00:00,13.46,N/A,N/A
10707623,2019/04/28 00:00:00,9.77,N/A,N/A
10707623,2019/04/29 00:00:00,6.81,N/A,N/A
10707623,2019/04/30 00:00:00,6.29,N/A,N/A
10707623,2019/05/01 00:00:00,6.51,N/A,N/A
10707623,2019/05/02 00:00:00,6.62,N/A,N/A
10707623,2019/05/03 00:00:00,6.16,N/A,N/A
10707623,2019/05/04 00:00:00,8.72,N/A,N/A
10707623,2019/05/05 00:00:00,5.09,N/A,N/A
10707623,2019/05/06 00:00:00,4.65,N/A,N/A
10707623,2019/05/07 00:00:00,4.72,N/A,N/A
10707623,2019/05/08 00:00:00,4.40,N/A,N/A
10707623,2019/05/09 00:00:00,4.56,N/A,N/A
